word,level
cibercafé,B1
sentir hambre,B1
hacer una entrevista,B1
selva,B1
huerta,B1
casco,B1
doctor,B1
descolgar el teléfono,B1
visado,B1
optimismo,B1
estudiar el bachillerato,B1
empresa de mudanzas,B1
ir de urgencias,B1
cartón reciclado,B1
farmacia de guardia,B1
salir de fin de semana,B1
haber un atasco,B1
comentario,B1
comunidad,B1
hemisferio norte,B1
hacer una pausa,B1
vaso de agua,B1
física,B1
parlamento,B1
subir los intereses,B1
despegar,B1
descuento,B1
autopista,B1
quemarse la comida,B1
destinatario,B1
dado,B1
seguro del coche,B1
cocer pasta,B1
ecología,B1
hacer el amor,B1
introvertido,B1
pescado hervido,B1
cortar una mano,B1
globo,B1
oriental,B1
parque de bomberos,B1
jardín de infancia,B1
orgánico,B1
gasolina normal,B1
regar,B1
fotografía en blanco y negro,B1
caminar,B1
maquinilla de afeitar,B1
madre soltera,B1
enamorarse,B1
gorro de ducha,B1
cintura,B1
empezar una carrera,B1
pelota,B1
papel reciclado,B1
partido de baloncesto,B1
alegrarse,B1
clase práctica,B1
tirita,B1
estar de promoción,B1
fiesta de disfraces,B1
perder las maletas,B1
montar en un coche,B1
fiesta formal,B1
salir de marcha,B1
película policiaca,B1
buscar en un libro,B1
recibir una llamada,B1
trozo de tarta,B1
dar la mano,B1
hacer un curso de jardinería,B1
cocina india,B1
trozo de pan,B1
recepcionista,B1
elegir un libro,B1
química,B1
pelar fruta,B1
portarse bien,B1
subir a un avión,B1
compositor,B1
península,B1
pendientes,B1
producción,B1
asignatura práctica,B1
comprar por Internet,B1
loncha de queso,B1
ponerse malo,B1
buzón de correos,B1
subir el sueldo,B1
quemarse un dedo,B1
dejar un recado,B1
jugar con los juguetes,B1
químico,B1
seguro privado,B1
bajar las manos,B1
hacer un safari,B1
boda religiosa,B1
planchar,B1
granizo,B1
engordar,B1
mamífero,B1
veterinario,B1
llegar con retraso,B1
hacer un descanso,B1
presentar el currículum vítae,B1
servir una bebida,B1
saludo,B1
hacerse una herida,B1
leche entera,B1
ventanilla,B1
fregar los platos,B1
oficio,B1
literatura moderna,B1
sección de congelados,B1
paso de cebra,B1
senderista,B1
aburrirse,B1
felicitar,B1
terrorista,B1
novela policiaca,B1
matrimonio heterosexual,B1
ir a misa,B1
meter dinero de la cuenta,B1
estar sentado,B1
guía telefónica,B1
partido de centro,B1
freír patatas,B1
estar nublado,B1
pegar una palabra,B1
divorcio,B1
infusión de manzanilla,B1
ser aficionado a,B1
abrir una cuenta de correo electrónico,B1
industria,B1
biología,B1
seguro,B1
consultar la programación,B1
descargarse un programa,B1
baños públicos,B1
sopa de pescado,B1
inseguro,B1
aprobar un control,B1
deportista,B1
haber aparcamiento,B1
escribir una carta de presentación,B1
terminar el bachillerato,B1
taza de desayuno,B1
quedar mal,B1
subir el precio,B1
romperse un brazo,B1
sociología,B1
mesilla de noche,B1
bajarse música,B1
cerrar un sobre,B1
darse un golpe,B1
medios de comunicación,B1
países en vías de desarrollo,B1
álbum de fotos,B1
asesino,B1
océano Atlántico,B1
salir a la pizarra,B1
ecologista,B1
estar de baja,B1
deberes,B1
trabajar para una empresa de transportes,B1
blando,B1
dar una fiesta de fin de curso,B1
cuchara,B1
conservar el medio ambiente,B1
deportes,B1
haber instalaciones para minusválidos,B1
casco antiguo,B1
historia contemporánea,B1
dar miedo,B1
antivirus,B1
gasolinera,B1
cheque,B1
mirar en un libro,B1
hospital de guardia,B1
canal público,B1
bajar el precio,B1
general,B1
pobreza,B1
cazo,B1
